2026-03-07 19:07:47,230 INFO    MainThread:5732 [wandb_setup.py:_flush():81] Current SDK version is 0.25.0
2026-03-07 19:07:47,231 INFO    MainThread:5732 [wandb_setup.py:_flush():81] Configure stats pid to 5732
2026-03-07 19:07:47,231 INFO    MainThread:5732 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-03-07 19:07:47,231 INFO    MainThread:5732 [wandb_init.py:setup_run_log_directory():717] Logging user logs to C:\Users\DELL\Sumedh\Academics\DA6401\Ass1\da6401_assignment_1\wandb\run-20260307_190747-xh5ihcwp\logs\debug.log
2026-03-07 19:07:47,231 INFO    MainThread:5732 [wandb_init.py:setup_run_log_directory():718] Logging internal logs to C:\Users\DELL\Sumedh\Academics\DA6401\Ass1\da6401_assignment_1\wandb\run-20260307_190747-xh5ihcwp\logs\debug-internal.log
2026-03-07 19:07:47,231 INFO    MainThread:5732 [wandb_init.py:init():844] calling init triggers
2026-03-07 19:07:47,231 INFO    MainThread:5732 [wandb_init.py:init():849] wandb.init called with sweep_config: {'activation': 'relu', 'batch_size': 16, 'dataset': 'mnist', 'epochs': 10, 'learning_rate': 0.001, 'loss': 'cross_entropy', 'num_layers': 5, 'optimizer': 'rmsprop', 'wandb_project': 'da6401_test', 'weight_decay': 0.0005, 'weight_init': 'random'}
config: {'dataset': 'mnist', 'epochs': 10, 'batch_size': 16, 'learning_rate': 0.001, 'optimizer': 'rmsprop', 'num_layers': 5, 'hidden_size': [128, 128, 128], 'activation': 'relu', 'loss': 'cross_entropy', 'weight_init': 'random', 'wandb_project': 'da6401_test', 'model_save_path': 'src/best_model.npy', 'weight_decay': 0.0005, '_wandb': {}}
2026-03-07 19:07:47,231 INFO    MainThread:5732 [wandb_init.py:init():892] starting backend
2026-03-07 19:07:49,509 INFO    MainThread:5732 [wandb_init.py:init():895] sending inform_init request
2026-03-07 19:07:49,548 INFO    MainThread:5732 [wandb_init.py:init():903] backend started and connected
2026-03-07 19:07:49,550 INFO    MainThread:5732 [wandb_run.py:_config_callback():1403] config_cb None None {'activation': 'relu', 'batch_size': 16, 'dataset': 'mnist', 'epochs': 10, 'learning_rate': 0.001, 'loss': 'cross_entropy', 'num_layers': 5, 'optimizer': 'rmsprop', 'wandb_project': 'da6401_test', 'weight_decay': 0.0005, 'weight_init': 'random'}
2026-03-07 19:07:49,550 INFO    MainThread:5732 [wandb_init.py:init():973] updated telemetry
2026-03-07 19:07:49,593 INFO    MainThread:5732 [wandb_init.py:init():997] communicating run to backend with 90.0 second timeout
2026-03-07 19:07:51,067 INFO    MainThread:5732 [wandb_init.py:init():1042] starting run threads in backend
2026-03-07 19:07:51,144 INFO    MainThread:5732 [wandb_run.py:_console_start():2524] atexit reg
2026-03-07 19:07:51,144 INFO    MainThread:5732 [wandb_run.py:_redirect():2373] redirect: wrap_raw
2026-03-07 19:07:51,144 INFO    MainThread:5732 [wandb_run.py:_redirect():2442] Wrapping output streams.
2026-03-07 19:07:51,144 INFO    MainThread:5732 [wandb_run.py:_redirect():2465] Redirects installed.
2026-03-07 19:07:51,147 INFO    MainThread:5732 [wandb_init.py:init():1082] run started, returning control to user process
2026-03-07 19:09:19,883 INFO    wandb-AsyncioManager-main:5732 [service_client.py:_forward_responses():134] Reached EOF.
2026-03-07 19:09:19,883 INFO    wandb-AsyncioManager-main:5732 [mailbox.py:close():155] Closing mailbox, abandoning 1 handles.
